ind,ang_centroid,ang_mean_vec_vel,ang_std
S102 RM PS DOM TRIAL 2.c3d,43.0569034757611,36.8459227927694,26.6653104582532
S102 RM SS DOM TRIAL 1.c3d,31.4418572932835,38.7892911916787,26.9483317323203
S102 RM SS DOM TRIAL 2.c3d,32.3697037930896,42.6754673816932,25.0711806465205
S103 RM FS DOM TRIAL 1.c3d,54.5156449406245,42.9552646571773,25.8033896302434
S103 RM FS DOM TRIAL 2.c3d,57.7139921910611,40.5805966947367,26.2714299307359
S103 RM PS DOM TRIAL 1.c3d,45.1108904940427,36.9319283179314,25.7100337544395
S103 RM PS DOM TRIAL 2.c3d,45.96375633755,40.8558132350561,25.0714873803409
S103 RM SS DOM TRIAL 1.c3d,47.5731272634863,39.9996472437722,25.2906097383423
S103 RM SS DOM TRIAL 2.c3d,46.940529387289,42.9646315552953,23.449180535682
S105 RM FS DOM TRIAL 1.c3d,34.2845997719837,31.1352766443115,20.1808064153014
S101 RM FS DOM TRIAL 1.c3d,36.9935981609385,45.294995839704,24.0107776731818
S105 RM FS DOM TRIAL 2.c3d,32.6062833520141,30.5743109490381,20.7510147940443
S105 RM PS DOM TRIAL 1.c3d,34.8237900028363,33.3830622433447,22.0170946413472
S105 RM PS DOM TRIAL 2.c3d,32.8129284516785,32.404657333157,23.2073747554179
S105 RM SS DOM TRIAL 1.c3d,34.1918683863523,35.0719581619432,23.7934998011469
S105 RM SS DOM TRIAL 2.c3d,28.7846886463594,37.6756487115048,22.6651022233876
S106 RM FS DOM TRIAL 1.c3d,42.1779743765097,39.2722935890781,28.5062282440976
S106 RM FS DOM TRIAL 2.c3d,39.9745559387421,36.7223759661579,26.2629148750966
S106 RM PS DOM TRIAL 1.c3d,38.7235727161748,42.9965614725285,27.272899416234
S106 RM PS DOM TRIAL 2.c3d,50.2113679808915,42.0674751979294,27.8138244618175
S106 RM SS DOM TRIAL 1.c3d,51.3053231664506,40.2080771544545,26.6066624695599
S101 RM FS DOM TRIAL 2.c3d,39.802670616241,40.8783754978907,25.9035119552012
S106 RM SS DOM TRIAL 2.c3d,34.1025149868717,42.6194033191428,28.2271410702965
S108 RM FAST DOM TRIAL 1.c3d,36.2126454730318,34.331186355258,22.9248364539044
S108 RM FAST DOM TRIAL 2.c3d,39.4388693922765,36.8413136674538,22.6229040662901
S108 RM PS DOM TRIAL 1.c3d,33.3036017204047,32.0891467565895,23.3870972812723
S108 RM PS DOM TRIAL 2.c3d,28.3445005416966,30.3522392916388,23.9927557018772
S108 RM SLOW DOM TRIAL 1.c3d,37.1312267966975,35.1715695540267,26.1213813431465
S108 RM SLOW DOM TRIAL 2.c3d,41.323352511441,35.877121095514,27.2284982414827
S110 RM FS DOM TRIAL 1.c3d,38.7913008969161,52.9776686545156,23.0883295738624
S110 RM FS DOM TRIAL 2.c3d,42.3701049387159,51.7426458640009,20.4577751554186
S110 RM PS DOM TRIAL 1.c3d,29.8990737168826,50.7795642383878,22.2410335677642
S101 RM PS DOM TRIAL 1.c3d,33.0681964822105,49.4096004059484,23.3778349590088
S110 RM PS DOM TRIAL 2.c3d,30.5360775619804,53.3128275707083,20.8070279800498
S110 RM SS DOM TRIAL 1.c3d,44.4209685615303,54.1886137621187,24.0534941999621
S110 RM SS DOM TRIAL 2.c3d,40.0114340144633,53.0499596162541,23.4038105635932
S111 RM FS DOM TRIAL 1.c3d,17.3736295522474,48.8108820267337,20.9491045020192
S111 RM FS DOM TRIAL 2.c3d,16.9635793470797,49.749320719466,20.6376098332255
S111 RM PS DOM TRIAL 1.c3d,18.5020976202471,48.7786606535295,21.8427677881189
S111 RM PS DOM TRIAL 2.c3d,16.5937401782251,46.8604982113545,22.9071343126992
S111 RM SS DOM TRIAL 1.c3d,15.619363361144,49.7308203245992,21.0759006010618
S111 RM SS DOM TRIAL 2.c3d,11.4096168461961,51.0360028235323,20.7254926836058
S112 RM FS DOM TRIAL 1.c3d,25.5361484501264,55.6716288201394,18.6641271936568
S101 RM PS DOM TRIAL 2.c3d,31.7517519477779,48.3495556703307,24.5603768994858
S112 RM FS DOM TRIAL 2.c3d,25.3990093344068,56.081527883129,19.8684579085268
S112 RM PS DOM TRIAL 1.c3d,17.7929767467242,58.3017046154962,16.5845871384052
S112 RM PS DOM TRIAL 2.c3d,23.8444040644115,53.5244052142279,18.3629868357541
S112 RM SS DOM TRIAL 1.c3d,22.6251297553086,53.6949375494581,18.1608611723578
S112 RM SS DOM TRIAL 2.c3d,20.2552423080448,57.0791045444849,18.5857714189846
